time,open,high,low,close,vol
1616526000000,0.17039,0.17511,0.16670,0.16792,70812125
1616527800000,0.16796,0.17420,0.16619,0.17145,58980279
1616529600000,0.17144,0.17232,0.16842,0.16913,32616585
1616531400000,0.16909,0.16971,0.16240,0.16407,40917819
1616533200000,0.16428,0.16542,0.16172,0.16186,27176727
1616535000000,0.16188,0.16878,0.16174,0.16817,25983666
1616536800000,0.16817,0.17047,0.16339,0.16436,37780776
1616538600000,0.16437,0.16594,0.16106,0.16157,19483790
1616540400000,0.16156,0.16345,0.15884,0.15894,23368386
1616542200000,0.15887,0.16105,0.15777,0.15807,22977152
1616544000000,0.15807,0.17161,0.15737,0.16490,89232917
1616545800000,0.16483,0.17231,0.16321,0.16466,50943306
1616547600000,0.16467,0.17064,0.16424,0.17008,25563399
1616549400000,0.17008,0.17178,0.16724,0.17150,18054176
1616551200000,0.17150,0.17851,0.17122,0.17699,34758641
1616553000000,0.17689,0.17714,0.17195,0.17332,26816927
1616554800000,0.17330,0.17395,0.16910,0.17085,20614043
1616556600000,0.17094,0.17681,0.17034,0.17179,23062385
1616558400000,0.17195,0.17711,0.17070,0.17702,20440928
1616560200000,0.17706,0.18008,0.17440,0.17466,26665406
1616562000000,0.17476,0.17512,0.17144,0.17387,22701205
1616563800000,0.17380,0.17672,0.17334,0.17441,17773473
1616565600000,0.17444,0.17955,0.17375,0.17777,27553984
1616567400000,0.17765,0.18443,0.17663,0.18441,54313095
1616569200000,0.18441,0.19900,0.18410,0.18943,164700158
1616571000000,0.18932,0.19663,0.18791,0.19286,79046040
1616572800000,0.19284,0.19900,0.19116,0.19281,98774421
1616574600000,0.19286,0.19550,0.18750,0.19081,58423148
1616576400000,0.19091,0.19400,0.18709,0.18726,43741229
1616578200000,0.18723,0.18975,0.18441,0.18876,44363404
1616580000000,0.18878,0.19265,0.18569,0.18756,45853349
1616581800000,0.18768,0.19583,0.18705,0.19566,49942167
1616583600000,0.19566,0.19609,0.19014,0.19304,37533900
1616585400000,0.19300,0.19664,0.18974,0.19532,45987477
1616587200000,0.19532,0.20860,0.19500,0.20600,148984743
1616589000000,0.20608,0.20960,0.20222,0.20620,97640644
1616590800000,0.20601,0.22067,0.20601,0.21805,178187625
1616592600000,0.21793,0.21822,0.20716,0.21239,117877572
1616594400000,0.21241,0.21550,0.20825,0.21179,68408978
1616596200000,0.21185,0.21660,0.20830,0.21217,62935321
1616598000000,0.21221,0.21311,0.20222,0.20224,75435410
1616599800000,0.20245,0.20728,0.20051,0.20704,63604179
1616601600000,0.20704,0.20725,0.19677,0.19772,76654977
1616603400000,0.19772,0.20147,0.19743,0.20040,43099036
1616605200000,0.20040,0.20239,0.19619,0.20060,46489861
1616607000000,0.20063,0.20535,0.19950,0.20444,42104675
1616608800000,0.20423,0.21305,0.20422,0.21205,61885420
1616610600000,0.21207,0.21249,0.20498,0.20625,60672656
1616612400000,0.20617,0.20639,0.19522,0.19579,78434327
1616614200000,0.19572,0.19741,0.19117,0.19579,69596411
1616616000000,0.19589,0.19848,0.19000,0.19146,67799117
1616617800000,0.19150,0.19949,0.19000,0.19716,55930036
1616619600000,0.19726,0.19952,0.19247,0.19769,45372201
1616621400000,0.19769,0.19790,0.19354,0.19462,30884013
1616623200000,0.19468,0.19468,0.17304,0.18013,93916307
1616625000000,0.18013,0.18899,0.17888,0.18735,79132171
1616626800000,0.18736,0.19100,0.18416,0.19100,50924914
1616628600000,0.19100,0.20355,0.18817,0.19889,95514505
1616630400000,0.19847,0.20222,0.19067,0.19979,86807142
1616632200000,0.19974,0.19994,0.19199,0.19308,48817054
1616634000000,0.19315,0.19620,0.18826,0.19019,35642062
1616635800000,0.19013,0.19037,0.18072,0.18191,50185404
1616637600000,0.18186,0.18992,0.17986,0.18839,49731882
1616639400000,0.18839,0.19789,0.18781,0.19269,49355210
