time,open,high,low,close,vol
1617739200000,0.14185,0.14968,0.13817,0.14520,84984959
1617753600000,0.14532,0.14608,0.14017,0.14119,66038534
1617768000000,0.14116,0.14194,0.13232,0.13433,97196340
1617782400000,0.13449,0.13846,0.11811,0.12704,197011729
1617796800000,0.12689,0.16632,0.12279,0.15911,532596070
1617811200000,0.15929,0.16931,0.14525,0.15317,500846102
1617825600000,0.15320,0.16495,0.14800,0.15563,197455292
1617840000000,0.15563,0.17570,0.15350,0.17135,201950462
1617854400000,0.17141,0.17707,0.16410,0.16982,146313800
1617868800000,0.16983,0.17244,0.15826,0.16078,143931017
1617883200000,0.16075,0.16522,0.15923,0.16235,114886318
1617897600000,0.16239,0.16332,0.15553,0.15760,94719825
1617912000000,0.15759,0.16140,0.15405,0.16099,48307714
1617926400000,0.16100,0.16170,0.15455,0.15628,55530987
1617940800000,0.15624,0.16050,0.15601,0.15961,52451846
1617955200000,0.15949,0.16029,0.15684,0.15874,52327797
1617969600000,0.15868,0.16879,0.15677,0.15824,117451852
1617984000000,0.15820,0.15927,0.15540,0.15690,38596374
1617998400000,0.15696,0.16389,0.15526,0.15776,68017423
1618012800000,0.15778,0.15950,0.15553,0.15950,32132265
1618027200000,0.15949,0.16083,0.15450,0.15479,43350771
1618041600000,0.15481,0.15727,0.15215,0.15446,52239170
1618056000000,0.15446,0.15537,0.15009,0.15098,50780997
1618070400000,0.15096,0.15521,0.14747,0.14885,94144650
1618084800000,0.14882,0.15295,0.14737,0.15063,36984958
1618099200000,0.15076,0.15170,0.14455,0.14520,34201737
1618113600000,0.14525,0.15008,0.14350,0.14686,49370752
1618128000000,0.14694,0.15598,0.14680,0.15331,63014487
1618142400000,0.15331,0.15349,0.14654,0.14749,37871563
1618156800000,0.14749,0.14986,0.14486,0.14891,39664381
1618171200000,0.14884,0.14965,0.14255,0.14279,40471486
1618185600000,0.14292,0.14450,0.14038,0.14307,43063597
1618200000000,0.14310,0.14549,0.14100,0.14151,43731762
1618214400000,0.14151,0.14314,0.13665,0.14303,74701925
1618228800000,0.14301,0.14651,0.13806,0.13967,76171807
1618243200000,0.13964,0.15000,0.13800,0.14472,91009509
1618257600000,0.14463,0.15000,0.14267,0.14957,51588355
1618272000000,0.14956,0.16488,0.14956,0.15914,220749459
1618286400000,0.15914,0.16424,0.15050,0.15402,147490696
1618300800000,0.15419,0.15529,0.14753,0.15171,95849383
1618315200000,0.15170,0.15188,0.14715,0.14814,102431800
1618329600000,0.14821,0.14936,0.14483,0.14740,139135058
1618344000000,0.14747,0.15167,0.14616,0.14777,73894666
1618358400000,0.14777,0.14890,0.14300,0.14707,48417260
1618372800000,0.14706,0.14757,0.14263,0.14451,65075653
1618387200000,0.14451,0.14852,0.14038,0.14649,92991544
1618401600000,0.14651,0.14785,0.13920,0.14437,88481022
1618416000000,0.14448,0.14674,0.14066,0.14196,51411544
1618430400000,0.14197,0.15335,0.14115,0.14973,107638206
1618444800000,0.14991,0.15500,0.14734,0.14953,67887417
1618459200000,0.14954,0.15138,0.14645,0.15003,93787462
1618473600000,0.15012,0.15726,0.14888,0.15558,86680414
1618488000000,0.15545,0.16381,0.15507,0.15705,151155302
1618502400000,0.15722,0.16578,0.15659,0.15742,133451416
1618516800000,0.15743,0.15957,0.15292,0.15398,90997048
1618531200000,0.15398,0.15506,0.14686,0.15070,105503321
1618545600000,0.15070,0.15072,0.14200,0.14659,127657088
1618560000000,0.14662,0.14860,0.13880,0.14439,85508466
1618574400000,0.14433,0.14588,0.13583,0.14308,96492178
1618588800000,0.14314,0.14618,0.14038,0.14171,93253896
1618603200000,0.14182,0.14597,0.14093,0.14161,60952603
1618617600000,0.14166,0.15300,0.14150,0.14709,93663745
1618632000000,0.14726,0.15432,0.14577,0.15074,90406439
1618646400000,0.15074,0.15566,0.14392,0.14621,107304789
1618660800000,0.14630,0.14924,0.14300,0.14486,70332325
1618675200000,0.14497,0.15074,0.14286,0.14888,71090743
1618689600000,0.14890,0.14907,0.14349,0.14364,35196605
1618704000000,0.14365,0.14538,0.08677,0.11099,213582914
1618718400000,0.11156,0.13161,0.10822,0.13017,235617457
1618732800000,0.13002,0.13019,0.10995,0.11143,114316085
1618747200000,0.11144,0.12504,0.11140,0.12321,92943701
1618761600000,0.12321,0.12752,0.12069,0.12336,63164682
1618776000000,0.12338,0.13542,0.12324,0.12876,94784583
1618790400000,0.12880,0.13555,0.12464,0.13248,82581757
1618804800000,0.13247,0.13719,0.13100,0.13585,46780648
1618819200000,0.13578,0.13914,0.12300,0.12830,93273214
1618833600000,0.12829,0.13060,0.11256,0.11278,137239675
1618848000000,0.11282,0.12725,0.11190,0.12448,169338945
1618862400000,0.12435,0.12598,0.11450,0.11582,77932077
1618876800000,0.11584,0.11694,0.10504,0.11042,114259841
1618891200000,0.11041,0.11702,0.10560,0.10975,85351271
1618905600000,0.10975,0.12261,0.10923,0.11873,154195875
1618920000000,0.11873,0.12146,0.11356,0.11738,89299643
1618934400000,0.11742,0.12511,0.11469,0.12365,91873649
1618948800000,0.12366,0.12379,0.11704,0.11980,56991974
1618963200000,0.11986,0.12410,0.11682,0.11826,53340216
